Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Japan,"59,408,698","73,509,042","83,986,277","91,622,673","102,062,496","116,132,455","97,910,966","121,043,965","148,268,708","151,626,581","150,132,589","149,391,340","135,896,918","129,450,377","137,368,622","147,235,099","143,244,518","142,596,625","165,822,965","172,927,436"
Jordan,"464,270","622,270","831,806","977,748","1,113,019","1,826,131","1,965,980","1,888,900","2,512,724","2,958,958","3,434,555","3,364,531","3,431,339","3,007,548","2,811,456","2,973,958","3,677,916","3,181,486","3,991,367","5,707,280"
Kazakhstan,"1,571,901","2,211,814","3,896,752","4,750,481","7,445,856","9,824,510","7,748,172","9,320,401","9,566,530","11,001,238","12,545,124","12,709,849","8,427,397","8,243,298","11,632,542","11,326,581","12,729,101","11,703,035","13,960,383","16,355,236"
Kenya,"241,712","348,794","456,915","621,040","948,149","1,249,333","1,277,439","1,786,303","2,368,775","2,788,762","3,217,481","4,930,627","5,918,049","5,668,583","5,045,166","5,204,944","5,009,266","5,409,543","6,732,052","8,249,079"
Kiribati,891,873,"1,405","1,181","16,706","2,462","3,937","11,386","13,076","33,983","18,657","20,620","44,733","25,366","16,203","17,916","20,160","24,409","39,082","42,624"
"Korea, Democratic People's Republic of","627,737","799,500","1,081,104","1,232,323","1,392,492","2,032,431","1,887,741","2,277,347","3,164,704","3,532,383","3,630,075","3,519,651","2,947,443","2,929,120","3,330,975","2,218,140","2,573,790","490,968","259,607","894,040"
"Korea, Republic of","20,094,765","27,811,560","35,107,776","44,522,207","56,432,016","73,931,990","53,679,877","68,766,311","82,920,308","87,673,764","91,164,951","100,333,451","101,474,642","94,659,513","102,834,413","109,028,749","110,974,410","112,476,216","148,847,027","162,621,428"
Kuwait,"674,987","484,051","628,472","861,311","1,345,995","1,751,301","1,542,683","1,848,592","2,128,415","2,089,319","2,675,509","3,428,725","3,775,940","3,064,320","3,115,497","3,321,341","3,836,320","3,547,784","4,368,468","4,969,911"
Kyrgyzstan,"245,164","492,741","867,153","2,112,786","3,665,539","9,212,050","5,227,522","4,127,513","4,878,289","5,073,516","5,075,346","5,242,520","4,284,720","5,639,551","5,371,401","5,546,955","6,280,520","2,865,336","7,473,735","15,421,271"
LAIA not elsewhere specified,760,"1,184",0,0,0,"1,531",590,483,494,775,525,388,0,0,0,0,0,0,,
Lao People's Democratic Republic,"98,235","100,883","103,377","168,717","177,937","268,114","376,650","483,623","476,255","937,094","1,722,577","1,839,475","1,212,287","1,005,864","1,420,409","1,455,739","1,762,454","1,491,278","1,666,652","2,339,910"
Lebanon,"365,420","483,852","472,035","499,440","708,486","1,083,449","1,056,822","1,319,453","1,458,393","1,691,955","2,490,831","2,604,861","2,291,021","2,158,257","2,021,808","1,982,773","1,679,599","945,620","1,508,686","2,515,757"
Lesotho,"24,883","47,454","55,820","64,422","56,662","79,639","50,392","59,363","73,109","94,371","89,829","88,761","84,015","55,470","61,300","64,201","72,034","59,382","84,445","60,329"
Liberia,"26,189","181,808","149,634","529,844","803,068","1,137,053","1,881,497","4,396,883","4,966,687","3,446,408","2,335,750","1,711,333","1,357,650","1,587,666","2,102,921","1,941,893","3,902,255","3,401,409","5,687,517","7,520,361"
"Libya, State of","174,735","254,985","360,499","704,105","870,992","1,640,447","2,002,912","2,061,358","720,379","2,384,239","2,834,679","2,157,612","1,895,780","1,211,185","1,028,537","1,433,045","2,451,593","1,880,409","2,129,030","2,373,287"
"Macao, China","1,280,086","1,617,599","1,605,066","2,185,386","2,641,028","2,602,115","1,851,544","2,140,801","2,355,273","2,708,244","3,170,786","3,592,858","4,615,021","3,259,428","3,186,302","3,097,867","3,010,512","2,207,646","3,185,505","4,276,604"
"Macedonia, North","24,130","26,409","21,498","28,242","75,586","70,721","56,010","52,783","91,811","88,750","63,476","76,664","86,492","89,946","77,716","107,788","134,827","156,795","224,276","234,927"
Madagascar,"111,695","152,079","182,640","222,563","329,780","602,593","395,383","396,791","503,376","542,414","642,961","752,678","869,659","964,132","1,017,693","1,015,756","1,072,546","997,650","1,283,179","1,455,128"
Malawi,"10,775","18,765","16,351","30,741","42,388","81,050","65,134","80,077","112,097","249,067","213,793","157,117","248,233","232,743","266,017","222,353","260,048","218,483","280,527","281,210"
Malaysia,"6,140,889","8,086,059","10,606,347","13,537,074","17,744,198","21,455,169","19,631,939","23,802,061","27,886,048","36,525,700","45,930,593","46,353,388","44,192,327","38,542,312","41,999,160","45,848,412","52,141,782","56,300,813","78,697,722","93,711,252"
Maldives,"3,342","7,910","16,933","15,402","24,909","31,554","40,662","63,476","97,122","76,488","97,414","103,990","172,590","333,158","297,550","396,693","347,986","275,700","406,886","451,291"
Mali,"35,204","58,768","65,937","74,988","125,374","167,732","167,597","229,693","297,735","290,232","274,639","297,069","272,108","368,569","336,904","345,612","435,101","468,441","594,885","581,306"
Marshall Islands,"100,206","104,577","280,973","457,176","517,276","456,962","1,354,779","1,946,029","2,190,067","1,823,395","1,422,971","1,237,975","3,374,161","3,975,503","3,094,768","2,156,333","2,383,336","3,284,614","3,187,592","3,467,854"
Mauritania,"56,486","64,333","74,296","109,240","138,600","189,093","241,781","284,968","386,275","455,402","598,451","756,947","803,838","885,019","862,683","1,039,976","1,025,918","740,087","909,962","940,851"
